HTTP Method,API,HTTP Endpoint
get,/v4,/accounts/{userId}/gitcredentials
post,/v4,/accounts/{userId}/gitcredentials
delete,/v4,/accounts/{userId}/gitcredentials/{credentialId}
get,/v4,/admin/supportbundle/{executionId}
delete,/v4,/datamount/projects/{projectId}
get,/v4,/datamount/projects/{projectId}
post,/v4,/datamount/projects/{projectId}
post,/v4,/datasetrw
delete,/v4,/datasetrw/{projectId}/shared/{datasetId}
post,/v4,/datasetrw/{projectId}/shared/{datasetId}
get,/v4,/datasetrw/dataset/{datasetId}/grants
put,/v4,/datasetrw/dataset/{datasetId}/grants
get,/v4,/datasetrw/datasets-v2
get,/v4,/datasetrw/datasets/{datasetId}
get,/v4,/datasetrw/files/{snapshotId}
get,/v4,/datasetrw/mounts-v2/{projectId}/shared
delete,/v4,/datasetrw/snapshot/{snapshotId}
get,/v4,/datasetrw/snapshot/{snapshotId}
put,/v4,/datasetrw/snapshot/{snapshotId}
get,/v4,/datasetrw/snapshot/{snapshotId}/download-local/{taskKey}
get,/v4,/datasetrw/snapshot/{snapshotId}/file/raw
get,/v4,/datasetrw/snapshots/{datasetId}
get,/v4,/datasource/audit/download
get,/v4,/datasource/audit/download/runs
delete,/v4,/datasource/{dataSourceId}/projects/{projectId}
post,/v4,/datasource/{dataSourceId}/projects/{projectId}
get,/v4,/gateway/projects
get,/v4,/gateway/projects/findProjectByOwnerAndName
get,/v4,/gateway/users/projectsDependencyGraph
get,/v4,/jobs/{jobId}
get,/v4,/jobs/{jobId}/logsWithProblemSuggestions
post,/v4,/jobs/{jobId}/name
get,v4,/jobs/{jobId}/runtimeExecutionDetails
post,/v4,/jobs/restart
post,/v4,/jobs/start
post,/v4,/jobs/stop
get,/v4,/modelManager/{modelVersionId}/logs
post,/v4,/projectManagement/{jobId}/linkJobToGoal
get,/v4,/projectManagement/{projectId}/goals
post,/v4,/projectManagement/{projectId}/goals
post,/v4,/projects
delete,/v4,/projects/{projectId}
get,/v4,/projects/{projectId}
get,/v4,/projects/{projectId}/collaborators
post,/v4,/projects/{projectId}/collaborators
delete,/v4,/projects/{projectId}/collaborators/{collaboratorId}
get,/v4,/projects/{projectId}/environmentVariables
post,/v4,/projects/{projectId}/environmentVariables
get,/v4,/projects/{projectId}/gitRepositories
post,/v4,/projects/{projectId}/gitRepositories
delete,/v4,/projects/{projectId}/gitRepositories/{repositoryId}
patch,/v4,/projects/{projectId}/gitRepositories/{repositoryId}
put,/v4,/projects/{projectId}/gitRepositories/{repositoryId}/ref
post,/v4,/projects/{projectId}/goal/{goalId}/markComplete
get,/v4,/projects/{projectId}/hardwareTiers
get,/v4,/projects/{projectId}/useableEnvironments
get,/v4,/runs/recent
get,/v4,/scheduledruns
get,/v4,/users
post,/v4,/users
delete,/v4,/users/environmentVariables
get,/v4,/users/environmentVariables
put,/v4,/users/environmentVariables
get,/v4,/users/self
